0,  3556.075038,  752.079146,  227.243876
1,  3662.879866,  869.441230,  259.800116
2,  3638.837492,  880.665943,  354.987725
3,  3523.001894,  805.412246,  379.657821
4,  3522.646013,  897.815765,  348.371316
5,  3407.633032,  744.148725,  328.099974
6,  3695.843615,  764.512188,  282.467041
7,  3574.525343,  779.641999,  416.409948
8,  3671.612639,  786.012095,  230.351789
9,  3435.856279,  1015.612107,  224.912591
10,  3663.920979,  822.465983,  276.240696
11,  3604.130251,  687.472603,  263.495038
12,  3571.523062,  845.188317,  161.046884
13,  3370.536692,  972.323844,  275.021821
14,  3523.391819,  980.799257,  264.033389
15,  3393.221534,  672.033044,  338.825768
16,  3529.364861,  675.906099,  260.598585
17,  3727.679035,  851.700246,  415.402519
18,  3447.956396,  780.467730,  377.809665
19,  3586.096144,  768.421984,  233.168355
20,  3565.552076,  713.636093,  320.000333
21,  3512.669671,  895.864549,  396.322345
22,  3372.063901,  1012.614834,  237.142109
23,  3582.189107,  748.133380,  293.030805
24,  3470.697590,  784.342776,  466.015317
25,  3679.901766,  889.065755,  358.178564
26,  3451.403327,  828.286946,  208.766677
27,  3639.209504,  862.179684,  348.761232
28,  3400.873650,  852.392470,  359.300264
29,  3687.900128,  991.495432,  281.928864
30,  3554.878800,  816.095313,  271.603642
31,  3619.502839,  786.535754,  282.299658
32,  3419.268350,  915.412790,  316.282259
33,  3573.584551,  820.309014,  248.215078
34,  3696.975590,  845.704304,  328.913388
35,  3506.287059,  855.000958,  266.656794
36,  3472.987434,  701.714798,  310.120444
37,  3635.867863,  930.554945,  342.649643
38,  3660.255520,  784.690353,  334.487148
39,  3382.166058,  832.358290,  266.390033
40,  3511.191562,  879.786920,  357.756881
41,  3568.234760,  719.747733,  250.445148
42,  3574.613876,  741.828708,  364.055326
43,  3503.085579,  889.699964,  326.168623
44,  3562.074632,  956.161903,  421.538052
45,  3602.931290,  716.374158,  303.029040
46,  3562.159421,  784.482561,  349.317745
47,  3496.209740,  1022.386726,  197.014087
48,  3707.843500,  826.977310,  375.338460
49,  3512.177088,  837.467969,  458.548460
50,  3551.888599,  853.905375,  365.350651
51,  3652.431582,  765.498044,  358.746980
52,  3451.828868,  917.964595,  223.450141
53,  3605.901647,  1011.074613,  178.868944
54,  3529.986122,  873.716208,  376.266749
55,  3409.655418,  992.313317,  346.004961
56,  3511.485430,  925.076746,  191.843725
57,  3672.821730,  774.705227,  257.368594
58,  3450.074916,  851.037243,  378.905649
59,  3606.304339,  860.706910,  454.664847
60,  3626.051262,  942.517668,  426.344349
61,  3403.898967,  838.366374,  283.801882
62,  3654.929762,  898.038162,  311.144140
63,  3629.434520,  807.965320,  460.374319
64,  3364.336389,  943.591791,  193.483541
65,  3632.022305,  883.429582,  307.128581
66,  3505.649521,  914.099985,  315.244789
67,  3360.787343,  880.522747,  446.665565
68,  3525.399711,  657.186241,  311.277263
69,  3514.192780,  678.577587,  326.873284
70,  3489.042759,  733.940126,  356.367740
71,  3692.067580,  769.375740,  393.064780
72,  3682.443094,  759.307451,  302.975805
73,  3527.811376,  810.435346,  409.990766
74,  3571.572063,  757.087537,  386.828084
75,  3581.470370,  685.787358,  409.569479
76,  3508.660631,  915.060518,  378.771973
77,  3625.548214,  755.227482,  194.968900
78,  3428.251925,  686.253640,  329.559197
79,  3421.648998,  804.416969,  361.309819
80,  3540.598927,  969.824886,  236.763389
81,  3583.854988,  841.599416,  462.327873
82,  3454.170351,  1012.994905,  314.134321
83,  3525.736826,  924.903852,  307.209347
84,  3569.166815,  917.396087,  338.995615
85,  3624.517755,  789.291917,  365.098217
87,  3671.882240,  813.476888,  347.432992
88,  3486.050375,  954.168375,  362.323256
89,  3457.651351,  628.207356,  313.346265
90,  3583.537858,  937.608435,  290.755327
