# 轨迹段 166
# 起点关节(rad): [0.019670457392930985, -1.137240235005514, 1.0713887214660645, -3.152640167866842, -1.3824427763568323, 0.009394733607769013]
# 终点关节(rad): [0.13878287076950074, -1.2197026411639613, 1.3350238800048828, -3.1280978361712855, -1.7144486586200158, 0.014265497773885727]
# 指令位姿: [-0.852691546525729, -0.2739722467820047, 0.7405194190565919, -1.3035003316989207, -1.3010726823462206, 1.1448675650955666]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.019702,-1.137252,1.071472,-3.152647,-1.382591,0.009392,0.013727,-0.011098,0.027816,0.000832,-0.036747,0.000000,-0.903223,-0.201801,0.843012,-1.053805,-1.299680,1.401679,0.008222,-0.021773,-0.029781,-0.004883,-0.062459,-0.060557
0.3303,0.030494,-1.144918,1.095259,-3.150419,-1.412440,0.009649,0.070098,-0.047213,0.159156,0.014178,-0.200967,0.004936,-0.898150,-0.213365,0.827971,-1.097373,-1.298906,1.368349,0.030948,-0.057834,-0.075031,-0.005126,-0.156105,-0.158404
0.6689,0.058878,-1.164468,1.158201,-3.144545,-1.491722,0.010924,0.091722,-0.064325,0.198924,0.018009,-0.249130,0.003145,-0.886556,-0.233718,0.800753,-1.170265,-1.298332,1.303917,0.038683,-0.056713,-0.076719,0.013537,-0.153790,-0.158112
1.0410,0.092525,-1.187651,1.232629,-3.137644,-1.585326,0.012346,0.088761,-0.064212,0.200888,0.018135,-0.251320,0.003751,-0.872019,-0.253336,0.772583,-1.237342,-1.298949,1.232021,0.043791,-0.051738,-0.081198,0.031593,-0.155127,-0.160897
1.3831,0.122673,-1.208703,1.299244,-3.131331,-1.669566,0.013559,0.068262,-0.044534,0.149410,0.013442,-0.186916,0.002991,-0.857649,-0.269229,0.748132,-1.288613,-1.300627,1.166156,0.026175,-0.023277,-0.037482,0.022086,-0.070737,-0.079915
1.7323,0.138242,-1.219480,1.333708,-3.128273,-1.712981,0.014225,0.003625,-0.001493,0.009258,0.001223,-0.010289,0.000334,-0.852661,-0.273992,0.740506,-1.303399,-1.301053,1.144835,-0.000117,0.000225,-0.000033,-0.000155,-0.000309,0.000058
2.0683,0.138776,-1.219722,1.335019,-3.128134,-1.714441,0.014249,-0.000077,0.000000,0.000000,0.000130,0.000104,0.000115,-0.852666,-0.273995,0.740503,-1.303419,-1.301076,1.144856,-0.000024,0.000035,-0.000010,-0.000107,-0.000096,0.000011
2.4083,0.138800,-1.219736,1.335026,-3.128091,-1.714442,0.014263,-0.000033,0.000000,0.000000,0.000096,0.000042,0.000058,-0.852679,-0.273987,0.740487,-1.303460,-1.301082,1.144817,-0.000016,0.000017,-0.000010,-0.000037,-0.000092,0.000007
2.7590,0.138780,-1.219715,1.335014,-3.128103,-1.714458,0.014280,-0.000018,0.000000,0.000000,0.000058,0.000019,0.000038,-0.852675,-0.273990,0.740494,-1.303456,-1.301098,1.144836,-0.000007,0.000009,-0.000004,-0.000016,-0.000038,0.000004
