# 轨迹段 160
# 起点关节(rad): [0.19332270324230194, -1.2274598280536098, 1.1452878952026366, -3.070655647908346, -1.8416293303119105, -0.007522312794820607]
# 终点关节(rad): [-0.17034637132753544, -1.6250134626971644, 1.5676301956176757, -3.087881390248434, -1.4113008658038537, -0.0013425985919397476]
# 指令位姿: [-0.648347716237903, -0.07297711482321322, 0.8881015935022184, -1.208758582323031, -1.2014383758146696, 1.2068296041215474]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0004,0.193191,-1.227604,1.145422,-3.070677,-1.841409,-0.007506,-0.030025,-0.033771,0.033507,-0.001239,0.035811,0.000000,-0.817537,-0.301336,0.869180,-1.234944,-1.148104,1.159867,0.023027,0.068366,0.011185,0.001250,-0.003937,0.013304
0.3378,0.164993,-1.258382,1.178071,-3.071937,-1.807984,-0.007069,-0.181547,-0.196861,0.210741,-0.010305,0.213634,0.004483,-0.801520,-0.262701,0.876996,-1.231237,-1.155261,1.165918,0.079598,0.162673,0.029333,-0.001260,-0.003064,0.041071
0.7088,0.091284,-1.338916,1.263803,-3.075432,-1.721061,-0.005830,-0.211845,-0.230877,0.245849,-0.010753,0.251067,0.003382,-0.770649,-0.205648,0.886221,-1.225357,-1.166896,1.175930,0.095967,0.144348,0.017948,0.000820,-0.001367,0.040206
1.0774,0.012896,-1.424600,1.354851,-3.079140,-1.628019,-0.004545,-0.210593,-0.232119,0.246958,-0.009967,0.249816,0.004855,-0.734386,-0.154960,0.891195,-1.219724,-1.178371,1.185904,0.107414,0.126237,0.006138,-0.003080,-0.003312,0.038395
1.4333,-0.061833,-1.506339,1.441563,-3.082707,-1.539884,-0.003257,-0.211549,-0.230902,0.246112,-0.010427,0.249115,0.003114,-0.695928,-0.113053,0.892072,-1.214507,-1.188925,1.195442,0.116676,0.108078,-0.004760,-0.001834,-0.002642,0.039854
1.7801,-0.134169,-1.585484,1.525602,-3.086152,-1.454048,-0.002078,-0.150893,-0.163740,0.175268,-0.006197,0.180799,0.004452,-0.658836,-0.080905,0.889428,-1.209845,-1.198910,1.204381,0.056317,0.041742,-0.006681,-0.001221,-0.001293,0.019072
2.1429,-0.169776,-1.624337,1.566875,-3.087677,-1.411920,-0.001450,-0.001301,-0.001473,0.002352,-0.000947,-0.000422,0.000644,-0.648367,-0.072984,0.888088,-1.208780,-1.201484,1.206739,-0.000017,-0.000085,0.000159,-0.000092,0.000941,-0.000107
2.4949,-0.170356,-1.625004,1.567630,-3.087905,-1.411306,-0.001386,0.000000,0.000069,-0.000107,-0.000173,-0.000115,0.000088,-0.648367,-0.072986,0.888072,-1.208719,-1.201432,1.206772,-0.000009,0.000012,0.000033,-0.000031,0.000184,-0.000115
2.8495,-0.170334,-1.625002,1.567633,-3.087925,-1.411327,-0.001362,0.000000,0.000028,-0.000051,-0.000077,-0.000081,0.000038,-0.648356,-0.072994,0.888090,-1.208706,-1.201404,1.206820,-0.000005,0.000006,0.000016,-0.000024,0.000088,-0.000058
3.1959,-0.170346,-1.625009,1.567635,-3.087934,-1.411294,-0.001345,0.000000,0.000013,-0.000026,-0.000058,-0.000038,0.000019,-0.648361,-0.072982,0.888088,-1.208733,-1.201391,1.206815,-0.000045,0.000011,-0.000022,-0.000074,-0.000324,-0.000037
