# 轨迹段 36
# 起点关节(rad): [0.2228063702583313, -1.4325550238238733, 1.4894814491271973, -3.157369915639059, -1.7108573118792934, 0.0028142706491053105]
# 终点关节(rad): [-0.05633432069887334, -1.535011402760641, 1.726640224456787, -3.3297131697284144, -1.540675179158346, -0.0021045843707483414]
# 指令位姿: [-0.68268607955449, -0.1318052998516077, 0.7464420254495383, -1.2215513271887664, -1.1952272492247056, 1.1918057500313717]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.222782,-1.432570,1.489510,-3.157380,-1.710836,0.002821,-0.021320,-0.005921,0.013052,-0.013737,0.016467,0.000000,-0.697221,-0.314860,0.813570,-1.195476,-1.303643,1.252309,-0.004410,0.037528,-0.014704,-0.001831,0.003255,-0.023256
0.2535,0.206682,-1.438276,1.503429,-3.167288,-1.700962,0.002620,-0.144470,-0.056509,0.121353,-0.090919,0.089297,-0.003022,-0.698493,-0.297070,0.807399,-1.198886,-1.293557,1.247111,-0.006812,0.127275,-0.043409,-0.002954,0.025070,-0.073529
0.5097,0.155880,-1.457114,1.546538,-3.198751,-1.670089,0.001733,-0.250606,-0.090280,0.212472,-0.155630,0.153897,-0.005718,-0.699360,-0.254505,0.792771,-1.205811,-1.268698,1.234370,0.005910,0.168788,-0.058092,-0.003589,0.036207,-0.096593
0.7992,0.083365,-1.483802,1.608074,-3.243332,-1.625703,0.000465,-0.250591,-0.090561,0.212055,-0.155139,0.151872,-0.004487,-0.696407,-0.206925,0.775565,-1.212746,-1.240579,1.219151,0.019152,0.163072,-0.061222,0.001839,0.034309,-0.096368
1.0876,0.011828,-1.510077,1.668910,-3.287783,-1.582127,-0.000767,-0.241850,-0.088843,0.203848,-0.149590,0.147945,-0.006251,-0.689528,-0.161427,0.758358,-1.218387,-1.213350,1.203033,0.025823,0.125330,-0.048878,0.003839,0.029693,-0.077855
1.3546,-0.040872,-1.529474,1.713416,-3.320332,-1.550078,-0.001748,-0.100846,-0.037069,0.086028,-0.064044,0.063894,-0.002036,-0.683657,-0.135795,0.748132,-1.221149,-1.197560,1.193445,0.007898,0.038589,-0.016761,0.001788,0.007086,-0.025240
1.6359,-0.056337,-1.534903,1.726633,-3.329718,-1.540697,-0.002052,0.000174,0.000455,0.000458,0.000583,-0.000671,-0.000311,-0.682781,-0.131750,0.746368,-1.221757,-1.195138,1.191680,-0.000155,0.000188,-0.000263,0.000135,-0.000588,-0.000460
1.9275,-0.056334,-1.534918,1.726624,-3.329713,-1.540726,-0.002066,-0.000079,0.000036,0.000095,0.000096,-0.000096,-0.000077,-0.682769,-0.131745,0.746371,-1.221735,-1.195165,1.191626,-0.000009,0.000049,-0.000049,0.000051,-0.000142,-0.000138
2.1931,-0.056334,-1.535035,1.726631,-3.329730,-1.540702,-0.002095,-0.000038,-0.000207,0.000051,0.000046,-0.000012,-0.000038,-0.682725,-0.131747,0.746415,-1.221671,-1.195136,1.191683,0.000062,0.000017,0.000044,0.000041,0.000030,-0.000030
2.4778,-0.056339,-1.535009,1.726631,-3.329684,-1.540658,-0.002090,-0.000026,-0.000054,0.000038,0.000035,0.000000,-0.000038,-0.682717,-0.131755,0.746428,-1.221629,-1.195142,1.191678,0.000023,0.000016,0.000013,0.000039,0.000000,-0.000025
