# 轨迹段 124
# 起点关节(rad): [-0.06611568132509404, -1.6069920698748987, 1.458237648010254, -3.0206353346454065, -1.5708648840533654, -0.002193371449605763]
# 终点关节(rad): [-0.030378643666402638, -1.5433250586139124, 1.5809288024902344, -3.1101078192340297, -1.5724741140948695, -0.0021764914142053727]
# 指令位姿: [-0.6913548705730885, -0.14616472278158438, 0.8275320011893502, -1.2729263267718793, -1.238787388322434, 1.1565498439130957]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.066092,-1.606958,1.458274,-3.020736,-1.570879,-0.002177,0.009278,0.018571,0.034561,-0.025828,0.000000,0.000000,-0.642474,-0.125680,0.938634,-1.218176,-1.146955,1.176033,-0.049024,-0.015699,-0.091429,-0.004767,-0.079896,0.027926
0.3437,-0.056540,-1.590119,1.490634,-3.044214,-1.571210,-0.002184,0.060178,0.109488,0.213060,-0.153904,-0.002535,0.000000,-0.667230,-0.134455,0.888525,-1.243535,-1.188622,1.167803,-0.090452,-0.040604,-0.212803,-0.007166,-0.177882,0.063819
0.6911,-0.036278,-1.553858,1.560450,-3.095351,-1.572023,-0.002181,0.033640,0.060546,0.111648,-0.080684,-0.001365,0.000000,-0.689198,-0.144962,0.833809,-1.269920,-1.233794,1.157832,-0.017022,-0.009373,-0.049516,-0.000939,-0.037885,0.013349
1.0322,-0.030463,-1.543495,1.580924,-3.110105,-1.572438,-0.002184,-0.000268,-0.000353,0.000281,0.000322,-0.000345,0.000000,-0.691233,-0.146054,0.827691,-1.272859,-1.238450,1.156488,-0.000481,0.000104,-0.000539,-0.000016,-0.000917,-0.000259
1.3828,-0.030451,-1.543419,1.580926,-3.110110,-1.572455,-0.002203,0.000118,0.001046,0.000072,0.000069,-0.000096,0.000000,-0.691344,-0.146087,0.827574,-1.272947,-1.238595,1.156425,-0.000148,-0.000377,-0.000259,-0.000006,-0.000428,0.000472
1.7204,-0.030391,-1.543313,1.580924,-3.110117,-1.572503,-0.002201,0.000100,0.000072,0.000038,0.000038,-0.000073,0.000000,-0.691346,-0.146096,0.827566,-1.272972,-1.238615,1.156417,-0.000033,-0.000036,-0.000064,0.000001,-0.000120,0.000004
