# 轨迹段 121
# 起点关节(rad): [0.1657845288515091, -1.2404704252826135, 1.0946593284606934, -2.9256376425372523, -1.8058500448810022, 0.011834797076880932]
# 终点关节(rad): [-0.3494657675372522, -1.815683952962057, 1.7785514831542968, -3.178877655659811, -1.1258810202227991, 0.031571317464113235]
# 指令位姿: [-0.5366084797431665, -0.024864858762017328, 0.86445331559509, -1.111806142876054, -1.2305767294385948, 1.3170214738621993]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0005,0.165677,-1.240562,1.094789,-2.925705,-1.805699,0.011830,-0.029956,-0.032142,0.037194,-0.017787,0.037790,0.000000,-0.823340,-0.281358,0.899994,-1.290635,-1.209467,1.130674,0.025830,0.061682,0.006641,-0.012555,0.017758,0.023863
0.3534,0.139107,-1.269916,1.130230,-2.938754,-1.770897,0.012712,-0.165972,-0.184459,0.217534,-0.080522,0.217948,0.006757,-0.806080,-0.246611,0.904618,-1.280586,-1.208557,1.152057,0.080880,0.141277,0.015815,-0.025997,0.054450,0.059824
0.7285,0.071822,-1.345182,1.219270,-2.971873,-1.681830,0.015333,-0.188235,-0.209082,0.249060,-0.091341,0.249951,0.010174,-0.774951,-0.197045,0.909438,-1.262100,-1.207495,1.183937,0.093742,0.126093,0.006925,-0.017479,0.055939,0.059476
1.0875,0.004927,-1.419952,1.307943,-3.004771,-1.593616,0.017893,-0.188173,-0.210388,0.250645,-0.091778,0.248731,0.005630,-0.741263,-0.154884,0.910596,-1.242183,-1.207307,1.211844,0.102670,0.111306,-0.003929,-0.010746,0.052907,0.062209
1.4256,-0.058651,-1.490897,1.392546,-3.036010,-1.509816,0.020340,-0.188999,-0.209590,0.251379,-0.092100,0.248079,0.008418,-0.704296,-0.117853,0.908303,-1.219930,-1.208690,1.237729,0.112689,0.095350,-0.011649,-0.002921,0.055221,0.059435
1.7835,-0.126180,-1.566257,1.482203,-3.069195,-1.420704,0.022951,-0.188023,-0.210833,0.250629,-0.092649,0.247331,0.007804,-0.665469,-0.086886,0.902828,-1.196275,-1.211299,1.260656,0.116612,0.078813,-0.022582,0.006961,0.052479,0.062370
2.1287,-0.191259,-1.638973,1.568570,-3.101168,-1.334687,0.025408,-0.187557,-0.210007,0.248339,-0.092725,0.249360,0.006995,-0.622718,-0.060119,0.893636,-1.169063,-1.215765,1.282476,0.120252,0.062579,-0.031641,0.012129,0.050203,0.061516
2.4798,-0.257208,-1.712635,1.656113,-3.133533,-1.247637,0.027904,-0.188869,-0.209250,0.248249,-0.093385,0.247719,0.004115,-0.581278,-0.040263,0.881314,-1.142090,-1.221880,1.300448,0.119976,0.047113,-0.042783,0.024056,0.044663,0.060590
2.8268,-0.320140,-1.783034,1.739689,-3.164508,-1.164637,0.030308,-0.128637,-0.142811,0.170735,-0.062966,0.169704,0.005384,-0.545791,-0.027536,0.868257,-1.118018,-1.228658,1.313837,0.052342,0.014623,-0.019301,0.014781,0.022420,0.026410
3.1692,-0.348992,-1.815281,1.777936,-3.178587,-1.126363,0.031348,-0.002807,-0.001846,0.003382,-0.001177,0.001369,0.000667,-0.536525,-0.024819,0.864529,-1.111688,-1.230521,1.316875,-0.000037,0.000281,-0.000007,-0.000901,-0.000186,-0.001627
3.5025,-0.349523,-1.815763,1.778547,-3.178721,-1.125883,0.031507,0.000102,0.000207,0.000000,0.000104,-0.000138,0.000173,-0.536569,-0.024826,0.864496,-1.111821,-1.230506,1.316937,0.000032,-0.000232,0.000008,0.000133,0.000832,0.000357
3.8374,-0.349466,-1.815693,1.778540,-3.178849,-1.125876,0.031531,0.000120,0.000000,0.000000,-0.000176,-0.000058,0.000096,-0.536569,-0.024845,0.864498,-1.111708,-1.230470,1.317002,0.000014,-0.000041,0.000008,-0.000062,0.000092,0.000042
4.1766,-0.349451,-1.815696,1.778540,-3.178863,-1.125886,0.031557,0.000038,0.000000,0.000000,-0.000058,-0.000031,0.000073,-0.536566,-0.024849,0.864497,-1.111736,-1.230456,1.317017,0.000005,-0.000018,0.000003,-0.000045,0.000031,0.000018
