# 轨迹段 60
# 起点关节(rad): [-0.17019778886903936, -1.5661395231830042, 1.56917142868042, -3.158681885396139, -1.3664435545550746, 0.0005608617444522679]
# 终点关节(rad): [0.06464523375034333, -1.5073300520526332, 1.3766117095947266, -3.050191418324606, -1.469015137349264, 0.0010594804305583238]
# 指令位姿: [-0.6783562408580721, -0.2204503812802473, 0.9328144008856588, -1.096313604289478, -1.301903541089104, 1.3549886852241952]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.170159,-1.566106,1.569135,-3.158617,-1.366468,0.000575,0.024135,0.005934,-0.018773,0.011048,-0.011628,-0.000019,-0.683712,-0.072499,0.856190,-1.179157,-1.227408,1.245739,-0.005389,-0.040431,0.021828,0.000334,0.006011,0.036220
0.2595,-0.150312,-1.560916,1.552757,-3.149409,-1.375080,0.000623,0.168825,0.041683,-0.140375,0.078371,-0.072481,0.000337,-0.685690,-0.094564,0.868030,-1.166524,-1.239188,1.262059,-0.006002,-0.135802,0.073337,-0.000218,0.024977,0.122655
0.5602,-0.086744,-1.545134,1.500743,-3.119988,-1.402814,0.000750,0.248952,0.060919,-0.207816,0.113975,-0.109308,0.000265,-0.686564,-0.140225,0.892017,-1.140722,-1.262578,1.295722,0.004882,-0.159869,0.080898,-0.003385,0.023644,0.141986
0.8679,-0.012724,-1.526748,1.439948,-3.085744,-1.435105,0.000863,0.250008,0.064023,-0.203500,0.114381,-0.108084,0.000368,-0.683330,-0.186837,0.915817,-1.114848,-1.285663,1.329973,0.017942,-0.129051,0.066147,-0.004793,0.021025,0.112649
1.1905,0.050697,-1.510744,1.388036,-3.056450,-1.463005,0.001043,0.092003,0.022657,-0.076837,0.041609,-0.040969,0.000349,-0.678935,-0.217517,0.931329,-1.097976,-1.300564,1.352699,0.005649,-0.028756,0.012795,-0.001261,0.003474,0.025580
1.4977,0.064760,-1.507441,1.376624,-3.050179,-1.469015,0.001050,0.000000,0.000314,-0.000291,-0.000230,0.000211,0.000096,-0.678217,-0.220553,0.932856,-1.096078,-1.301979,1.355100,-0.000067,0.000016,0.000027,-0.000103,0.000182,0.000120
1.7786,0.064662,-1.507436,1.376624,-3.050189,-1.469030,0.001055,-0.000164,0.000000,-0.000079,-0.000077,0.000077,0.000081,-0.678276,-0.220480,0.932834,-1.096184,-1.301902,1.355039,-0.000317,-0.000026,-0.000243,-0.000040,-0.000307,0.000060
2.0852,0.064638,-1.507343,1.376619,-3.050177,-1.469008,0.001057,0.000000,0.000176,-0.000049,-0.000038,0.000038,0.000038,-0.678320,-0.220485,0.932799,-1.096240,-1.301961,1.355015,-0.000072,-0.000008,-0.000044,-0.000035,-0.000034,0.000040
2.3634,0.064631,-1.507350,1.376609,-3.050184,-1.469020,0.001081,0.000000,0.000051,-0.000038,-0.000019,0.000019,0.000019,-0.678337,-0.220485,0.932778,-1.096249,-1.301961,1.355015,-0.000023,-0.000003,-0.000002,-0.000020,0.000013,0.000020
