# 轨迹段 51
# 起点关节(rad): [-0.09838010469545537, -1.5147201696978967, 1.3811049461364746, -3.048318115864889, -1.282285801564352, 0.008778370171785354]
# 终点关节(rad): [0.021165714412927628, -1.5304163138019007, 1.5476651191711426, -3.1524483839618127, -1.6334283987628382, -0.0021022001849573257]
# 指令位姿: [-0.6840040225254543, -0.17587097179446246, 0.8450314944363756, -1.2308835168870045, -1.1863329011725938, 1.1792459374685647]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.098368,-1.514711,1.381172,-3.048339,-1.282447,0.008807,0.006905,0.000000,0.013875,-0.006408,-0.025851,-0.000012,-0.698656,-0.125309,0.934021,-1.085159,-1.318028,1.371442,0.000260,-0.010154,-0.016372,-0.000233,-0.007549,-0.043199
0.2701,-0.091323,-1.515750,1.391135,-3.054425,-1.303390,0.008186,0.059738,-0.008580,0.085128,-0.052140,-0.175204,-0.006876,-0.698117,-0.131292,0.923940,-1.103483,-1.302006,1.350368,0.003758,-0.033394,-0.059263,-0.000174,-0.029914,-0.158105
0.6033,-0.066588,-1.518986,1.425331,-3.075883,-1.375624,0.006062,0.084630,-0.009664,0.118342,-0.075499,-0.249717,-0.007785,-0.696773,-0.141799,0.905611,-1.135548,-1.274899,1.312286,0.007160,-0.036023,-0.063911,-0.000317,-0.032572,-0.166715
0.8940,-0.041404,-1.522161,1.460409,-3.098052,-1.449885,0.003680,0.086281,-0.010377,0.119574,-0.073175,-0.249502,-0.008218,-0.694087,-0.152782,0.886208,-1.167756,-1.246198,1.270647,0.012451,-0.035486,-0.062480,0.003521,-0.030687,-0.165811
1.1859,-0.017356,-1.525383,1.493805,-3.118753,-1.520058,0.001536,0.084060,-0.012210,0.120308,-0.073731,-0.251097,-0.008011,-0.690321,-0.162828,0.868465,-1.195814,-1.220063,1.231704,0.016537,-0.036306,-0.062362,0.005925,-0.031594,-0.164428
1.4602,0.005931,-1.528601,1.526211,-3.138973,-1.588177,-0.000508,0.062267,-0.007545,0.089145,-0.058299,-0.192093,-0.008671,-0.686098,-0.171891,0.852154,-1.220640,-1.196503,1.195250,0.010532,-0.022014,-0.037552,0.006580,-0.019807,-0.092850
1.7413,0.019405,-1.530148,1.544995,-3.150829,-1.628160,-0.001755,0.016659,-0.002096,0.025157,-0.015167,-0.051277,-0.002374,-0.684137,-0.175701,0.845202,-1.230802,-1.186474,1.179604,0.001181,-0.000978,-0.001787,0.000926,-0.001186,-0.003357
2.0429,0.021058,-1.530373,1.547658,-3.152311,-1.633428,-0.002025,-0.000023,0.000000,0.000166,-0.000169,0.000330,-0.000460,-0.684087,-0.175771,0.844965,-1.231063,-1.186307,1.179020,0.000044,-0.000014,-0.000021,0.000247,0.000050,0.000162
2.3352,0.021106,-1.530404,1.547655,-3.152343,-1.633426,-0.002069,0.000644,-0.000118,0.000064,-0.000334,0.000077,-0.000130,-0.684024,-0.175839,0.845010,-1.230905,-1.186329,1.179136,0.000127,-0.000002,0.000084,0.000078,0.000565,0.000057
2.6415,0.021171,-1.530404,1.547670,-3.152444,-1.633436,-0.002105,0.000000,-0.000084,0.000038,-0.000188,0.000038,-0.000077,-0.684023,-0.175833,0.845009,-1.230859,-1.186313,1.179136,0.000056,-0.000002,0.000030,0.000073,0.000145,0.000039
