# 轨迹段 161
# 起点关节(rad): [-0.1703415075885218, -1.6250110785113734, 1.5676326751708984, -3.0878551642047327, -1.4113104025470178, -0.0012801329242151382]
# 终点关节(rad): [-0.19506913820375615, -1.7105409781085412, 1.709869384765625, -3.075978676472799, -1.5329608122455043, -0.003746811543599904]
# 指令位姿: [-0.6063997802455471, -0.054367966252763925, 0.8440053896089348, -1.3276168822772083, -1.1394414097874603, 1.0685398416899246]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.170354,-1.625071,1.567791,-3.087848,-1.411478,-0.001285,-0.006698,-0.023539,0.036652,0.003294,-0.030914,0.000008,-0.647093,-0.072443,0.886859,-1.212479,-1.199581,1.202981,0.026259,0.013284,-0.026509,-0.006445,-0.046282,-0.094885
0.3333,-0.175905,-1.643443,1.598311,-3.085389,-1.437357,-0.001683,-0.034875,-0.120031,0.198860,0.017898,-0.169789,-0.004403,-0.632805,-0.065505,0.871937,-1.255545,-1.177721,1.155286,0.073112,0.031961,-0.077818,-0.008934,-0.121798,-0.255902
0.6833,-0.189328,-1.690221,1.675889,-3.078855,-1.504034,-0.002979,-0.026420,-0.091515,0.156888,0.013917,-0.131834,-0.004510,-0.611259,-0.056255,0.849134,-1.315151,-1.146244,1.084306,0.031264,0.010799,-0.028834,0.000409,-0.040931,-0.099605
1.0187,-0.194861,-1.710325,1.709503,-3.076274,-1.532779,-0.003605,-0.000437,0.001010,0.000744,0.000560,0.000763,-0.000276,-0.606475,-0.054462,0.843907,-1.327613,-1.139510,1.068659,-0.000327,0.000150,-0.000278,-0.000222,-0.001871,0.000078
1.3634,-0.195021,-1.710419,1.709841,-3.076012,-1.532982,-0.003684,-0.000409,0.000049,0.000000,0.000211,0.000096,-0.000130,-0.606476,-0.054375,0.843903,-1.327758,-1.139540,1.068425,0.000305,0.000005,0.000259,0.000168,0.000287,-0.000022
1.7270,-0.195050,-1.710543,1.709874,-3.075993,-1.532961,-0.003704,-0.000077,0.000000,0.000000,0.000069,0.000084,-0.000100,-0.606429,-0.054371,0.843940,-1.327701,-1.139508,1.068414,-0.000011,0.000042,-0.000006,0.000061,-0.000067,-0.000014
2.0834,-0.195064,-1.710543,1.709853,-3.075986,-1.532954,-0.003737,-0.000049,0.000000,0.000000,0.000038,0.000038,-0.000077,-0.606431,-0.054370,0.843930,-1.327724,-1.139531,1.068406,-0.000007,0.000021,-0.000004,0.000066,-0.000049,0.000005
