# 轨迹段 17
# 起点关节(rad): [-0.1931980291949671, -1.282309643422262, 1.296607494354248, -3.111117664967672, -1.4466740767108361, -0.009684578572408498]
# 终点关节(rad): [-0.017803494130269826, -1.2548661390887659, 1.3801655769348145, -3.179707447682516, -1.5930928389178676, -0.0020087401019495132]
# 指令位姿: [-0.8606791477780652, -0.14935031292671225, 0.7460721368910732, -1.2906505362639216, -1.244921706062845, 1.1414111889052254]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.193136,-1.282300,1.296655,-3.111144,-1.446765,-0.009675,0.028916,0.003513,0.015621,-0.009833,-0.025261,0.001446,-0.859713,-0.015869,0.817058,-1.272607,-1.193145,1.141349,-0.008158,-0.069239,-0.038097,-0.006925,-0.023100,0.015695
0.3350,-0.161272,-1.277227,1.311856,-3.123631,-1.473368,-0.008316,0.206147,0.033525,0.096303,-0.079706,-0.172212,0.007578,-0.863107,-0.054383,0.796244,-1.278837,-1.207686,1.142462,-0.006882,-0.193828,-0.102569,-0.004981,-0.061443,0.041466
0.6558,-0.087810,-1.265935,1.346844,-3.152343,-1.534685,-0.005111,0.240648,0.040160,0.112211,-0.093623,-0.200357,0.009844,-0.863292,-0.114117,0.764685,-1.286739,-1.230822,1.142553,0.008755,-0.141741,-0.075333,0.002731,-0.045372,0.029164
0.9827,-0.027633,-1.256438,1.375571,-3.175860,-1.584825,-0.002663,0.070801,0.010492,0.030787,-0.027205,-0.059223,0.003371,-0.860715,-0.148310,0.746749,-1.290266,-1.244567,1.141365,0.000835,-0.008293,-0.005362,-0.001059,-0.004188,-0.000767
1.3020,-0.017794,-1.255003,1.380099,-3.179724,-1.593088,-0.002088,-0.000189,-0.000061,0.000189,0.000211,0.000226,0.000430,-0.860585,-0.149321,0.746241,-1.290557,-1.244755,1.141422,-0.000035,0.000071,-0.000099,-0.000202,-0.000247,0.000021
1.6167,-0.017803,-1.254868,1.380106,-3.179710,-1.593088,-0.002069,-0.000064,0.000256,0.000028,0.000061,0.000065,0.000077,-0.860681,-0.149315,0.746115,-1.290681,-1.244835,1.141374,-0.000085,0.000051,-0.000134,-0.000066,-0.000212,-0.000011
1.9494,-0.017811,-1.254878,1.380173,-3.179710,-1.593095,-0.002025,-0.000038,0.000051,0.000184,0.000038,0.000038,0.000058,-0.860682,-0.149318,0.746060,-1.290742,-1.244896,1.141340,-0.000036,0.000028,-0.000114,-0.000063,-0.000181,-0.000006
