# 轨迹段 147
# 起点关节(rad): [0.19016164243221284, -1.1220678488360805, 1.1536256790161132, -3.2280375639544885, -1.5066288153277796, -0.0014431158648889665]
# 终点关节(rad): [0.26662847995758054, -1.3671281973468226, 1.5989527702331543, -3.264059845601217, -1.7846314589129846, 0.020354607701301576]
# 指令位姿: [-0.7145883775566272, -0.3481004051375806, 0.701652677447859, -1.2585741477355397, -1.3309624041335528, 1.1956758325550467]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.190174,-1.122154,1.153741,-3.228030,-1.506691,-0.001431,0.004093,-0.017958,0.030731,-0.001220,-0.020367,0.000000,-0.870973,-0.342921,0.782291,-1.042145,-1.349520,1.425264,0.027097,-0.003973,-0.014068,-0.000858,-0.036305,-0.038547
0.3236,0.195012,-1.138356,1.183111,-3.230256,-1.524755,-0.000091,0.035438,-0.112625,0.202092,-0.017863,-0.127926,0.014362,-0.854660,-0.345143,0.774615,-1.071056,-1.347502,1.401179,0.081202,-0.010984,-0.039112,0.002586,-0.093845,-0.110595
0.6762,0.209232,-1.183293,1.264999,-3.236933,-1.576059,0.003953,0.044534,-0.138874,0.251310,-0.021265,-0.158311,0.012494,-0.825839,-0.348057,0.760535,-1.117656,-1.344162,1.358862,0.085251,-0.005319,-0.043708,0.010132,-0.093356,-0.112272
1.0322,0.224429,-1.231977,1.353394,-3.244140,-1.631393,0.008301,0.044718,-0.138800,0.252503,-0.019815,-0.154142,0.012885,-0.796117,-0.349656,0.745399,-1.160928,-1.340712,1.315217,0.089090,-0.000719,-0.046782,0.015980,-0.091330,-0.115683
1.3696,0.238991,-1.278513,1.437819,-3.251016,-1.683961,0.012444,0.042184,-0.135573,0.250218,-0.019018,-0.154974,0.010815,-0.765125,-0.349950,0.729214,-1.201259,-1.336914,1.269607,0.093161,0.002583,-0.050191,0.020943,-0.089127,-0.115579
1.7172,0.254069,-1.326511,1.525042,-3.258059,-1.738402,0.016653,0.039505,-0.131107,0.239848,-0.019746,-0.152213,0.012793,-0.731622,-0.348971,0.711181,-1.240332,-1.332771,1.220623,0.068573,0.002333,-0.041514,0.020137,-0.066732,-0.079571
2.0783,0.265279,-1.362283,1.590127,-3.263261,-1.779256,0.019815,0.010229,-0.037283,0.064345,-0.005507,-0.040221,0.003785,-0.714994,-0.348122,0.701919,-1.258103,-1.331133,1.196072,0.002256,0.000298,-0.002373,0.000640,-0.003237,-0.002515
2.4267,0.266576,-1.367202,1.598998,-3.263933,-1.784634,0.020285,0.000084,0.000110,0.000153,-0.000479,0.000157,0.000383,-0.714563,-0.348023,0.701644,-1.258621,-1.330949,1.195547,-0.000011,-0.000012,-0.000067,-0.000203,0.000105,0.000081
2.7809,0.266612,-1.367169,1.598948,-3.264009,-1.784620,0.020333,0.000516,0.000752,-0.000013,-0.000153,0.000058,0.000069,-0.714581,-0.348058,0.701624,-1.258617,-1.330937,1.195620,-0.000021,-0.000138,-0.000106,-0.000062,-0.000004,0.000190
3.1231,0.266648,-1.367123,1.598934,-3.264055,-1.784624,0.020352,0.000061,0.000061,-0.000033,-0.000096,0.000035,0.000058,-0.714574,-0.348056,0.701626,-1.258607,-1.330906,1.195645,-0.000002,-0.000037,0.000016,-0.000090,0.000106,0.000056
