# 轨迹段 170
# 起点关节(rad): [0.24884487092494964, -1.1648547331439416, 1.2167228698730468, -3.196438805256979, -2.019989029561178, -0.005537335072652638]
# 终点关节(rad): [-0.23222142854799444, -1.739888874684469, 1.8557390213012694, -3.0241061369525353, -1.3365819136248986, -0.05594245592226201]
# 指令位姿: [-0.605361234680287, -0.050922349393053554, 0.7569944868744499, -1.3667380743602262, -1.3846858841625436, 1.1020767730806227]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.248778,-1.164939,1.216826,-3.196417,-2.019812,-0.005535,-0.024130,-0.029642,0.030171,0.008560,0.034967,-0.001335,-0.834758,-0.340310,0.777647,-1.294808,-1.064018,1.063466,0.014290,0.050827,0.007912,0.015518,-0.033794,0.026831
0.3086,0.229607,-1.188045,1.242385,-3.189462,-1.992369,-0.007494,-0.138718,-0.164422,0.184773,0.048251,0.196626,-0.015217,-0.826015,-0.312011,0.782641,-1.294057,-1.090604,1.060139,0.051645,0.143192,0.023070,0.031828,-0.085408,0.075768
0.6608,0.171864,-1.256940,1.319058,-3.168933,-1.910587,-0.013633,-0.176267,-0.210598,0.232150,0.064124,0.250158,-0.018304,-0.805962,-0.262478,0.789704,-1.295105,-1.137329,1.056429,0.065554,0.134412,0.013625,0.019283,-0.088202,0.073266
1.0151,0.109810,-1.331040,1.401291,-3.146584,-1.822427,-0.020100,-0.176042,-0.208555,0.234431,0.062145,0.248670,-0.018642,-0.781519,-0.216806,0.793170,-1.299565,-1.182945,1.055158,0.076910,0.122688,0.001693,0.007645,-0.092225,0.073854
1.3479,0.051550,-1.400643,1.478788,-3.125711,-1.739814,-0.026141,-0.176323,-0.210539,0.233068,0.062099,0.251335,-0.019094,-0.755183,-0.177998,0.793291,-1.306645,-1.223909,1.056309,0.087663,0.110728,-0.005072,-0.004768,-0.086862,0.076852
1.6824,-0.007637,-1.471233,1.557148,-3.104668,-1.655794,-0.032391,-0.176421,-0.210276,0.234983,0.064477,0.250752,-0.018105,-0.724450,-0.141349,0.790312,-1.316474,-1.264994,1.060895,0.094938,0.098100,-0.016196,-0.018023,-0.087972,0.074924
2.0373,-0.070445,-1.546250,1.640610,-3.081990,-1.566493,-0.039021,-0.175689,-0.210337,0.236121,0.062966,0.249698,-0.017587,-0.689687,-0.107870,0.783737,-1.329553,-1.305228,1.068968,0.102293,0.083719,-0.023487,-0.030524,-0.082083,0.075044
2.3832,-0.131004,-1.618534,1.721152,-3.060269,-1.480478,-0.045331,-0.176150,-0.210089,0.230805,0.061697,0.249866,-0.017591,-0.654552,-0.080497,0.774333,-1.344403,-1.341124,1.080417,0.105675,0.070856,-0.033100,-0.041597,-0.076194,0.072996
2.7361,-0.192807,-1.692579,1.803224,-3.038260,-1.392861,-0.051729,-0.144859,-0.172394,0.192773,0.052355,0.206604,-0.015455,-0.618409,-0.057890,0.762022,-1.360737,-1.373817,1.095613,0.061795,0.033636,-0.025600,-0.031442,-0.043356,0.044023
3.0951,-0.230094,-1.737001,1.852736,-3.024771,-1.339705,-0.055490,-0.016204,-0.023503,0.022146,0.005024,0.024732,-0.002228,-0.605253,-0.050997,0.757117,-1.366555,-1.384531,1.102452,0.000196,-0.000247,0.000469,0.001402,0.000208,-0.000436
3.4461,-0.232210,-1.739953,1.855722,-3.024130,-1.336563,-0.055897,0.000082,0.000107,-0.000125,0.000107,-0.000192,-0.000238,-0.605288,-0.050980,0.757067,-1.366489,-1.384641,1.102169,-0.000260,0.000045,-0.000196,0.000114,-0.000411,-0.000084
3.7965,-0.232238,-1.739867,1.855713,-3.024116,-1.336572,-0.055930,0.000015,0.000000,-0.000051,0.000038,-0.000077,-0.000104,-0.605309,-0.050972,0.757056,-1.366495,-1.384667,1.102156,-0.000002,0.000006,0.000023,0.000088,0.000000,-0.000039
4.1372,-0.232241,-1.739884,1.855717,-3.024111,-1.336587,-0.055952,0.000000,0.000000,-0.000031,0.000019,-0.000038,-0.000058,-0.605307,-0.050970,0.757059,-1.366467,-1.384670,1.102137,-0.000001,0.000004,0.000015,0.000066,0.000005,-0.000024
