# 轨迹段 187
# 起点关节(rad): [0.09779494702816009, -1.4173995176898402, 1.6972298622131348, -3.3159125486956995, -1.7603387037860316, 0.017451653257012367]
# 终点关节(rad): [0.29715073108673096, -1.2996352354632776, 1.598198127746582, -3.5641257444964807, -1.838697640095846, -0.036228481923238576]
# 指令位姿: [-0.7068985328190545, -0.3654362635213086, 0.6758623344214234, -1.1074967332352454, -1.1418904559519223, 1.2868935902256444]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.097867,-1.417359,1.697184,-3.315999,-1.760351,0.017430,0.026500,0.014215,-0.015902,-0.033326,-0.009963,-0.009725,-0.725553,-0.223690,0.681100,-1.324833,-1.214933,1.098975,-0.000446,-0.051645,-0.002294,0.011710,0.075691,0.045548
0.3177,0.120972,-1.403798,1.685705,-3.344893,-1.769411,0.011245,0.157770,0.094432,-0.080268,-0.195659,-0.062372,-0.043366,-0.724741,-0.250745,0.681118,-1.279679,-1.204573,1.134092,0.009623,-0.142905,-0.002436,0.022340,0.221818,0.121213
0.6517,0.183375,-1.366905,1.654603,-3.422417,-1.794027,-0.005626,0.201593,0.118766,-0.098323,-0.249291,-0.075595,-0.053145,-0.719714,-0.300415,0.680056,-1.200963,-1.180715,1.199483,0.022320,-0.145627,-0.007422,-0.001529,0.221158,0.119380
0.9962,0.253024,-1.325921,1.620162,-3.509126,-1.821351,-0.024192,0.162528,0.095641,-0.079688,-0.202969,-0.063507,-0.044792,-0.710966,-0.348207,0.677271,-1.131359,-1.152982,1.263557,0.019242,-0.083345,-0.006409,-0.011237,0.127932,0.065511
1.3530,0.294500,-1.301363,1.599713,-3.560803,-1.837489,-0.035450,0.020192,0.013438,-0.010822,-0.025376,-0.007202,-0.004863,-0.706930,-0.365396,0.675773,-1.107603,-1.141939,1.286969,-0.000674,0.000621,-0.000111,0.000477,-0.000785,-0.001317
1.7103,0.297115,-1.299621,1.598296,-3.564138,-1.838462,-0.036034,0.000000,0.000077,-0.000107,0.000115,-0.000092,-0.001852,-0.706963,-0.365377,0.675738,-1.107592,-1.142063,1.286757,-0.000035,0.000109,-0.000002,0.000165,-0.000097,-0.001513
2.0736,0.297168,-1.299650,1.598246,-3.564150,-1.838635,-0.036205,0.000261,0.000031,-0.000302,0.000042,-0.000226,-0.000127,-0.706934,-0.365403,0.675799,-1.107573,-1.141913,1.286712,0.000017,-0.000067,0.000067,0.000034,0.000072,-0.000107
2.4259,0.297160,-1.299638,1.598229,-3.564121,-1.838698,-0.036245,0.000000,0.000013,-0.000089,0.000019,-0.000092,-0.000077,-0.706942,-0.365392,0.675829,-1.107559,-1.141854,1.286703,-0.000013,0.000002,0.000044,0.000051,0.000055,-0.000074
