# 轨迹段 86
# 起点关节(rad): [0.05968728512525558, -1.6046168486224572, 1.6823525428771973, -3.2780773321734826, -1.6694124380694788, -0.007630173360006154]
# 终点关节(rad): [0.10986965596675873, -1.391243092213766, 1.3887453079223633, -3.1330626646624964, -1.6502097288714808, -0.00296041170229131]
# 指令位姿: [-0.7500276065343963, -0.24315803587343843, 0.8471223177266978, -1.1967958088187511, -1.2390898200683973, 1.2319030242597788]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.059697,-1.604610,1.682345,-3.278070,-1.669405,-0.007625,0.004027,0.017487,-0.022570,0.011846,0.000303,0.000000,-0.623029,-0.195891,0.816547,-1.181422,-1.141796,1.210228,-0.029383,-0.010668,0.008272,-0.000237,-0.015730,0.019539
0.2764,0.063392,-1.589761,1.662145,-3.268166,-1.668111,-0.007340,0.028274,0.117163,-0.161896,0.079932,0.011344,0.002757,-0.637484,-0.200682,0.821287,-1.183081,-1.152701,1.212998,-0.093860,-0.029784,0.029651,-0.001810,-0.046395,0.048260
0.5674,0.074027,-1.543673,1.598558,-3.236528,-1.663924,-0.006367,0.044726,0.181531,-0.251519,0.123808,0.016107,0.004050,-0.668684,-0.211165,0.830407,-1.187077,-1.176006,1.218214,-0.109376,-0.039426,0.029982,-0.001895,-0.054388,0.058798
0.8428,0.085857,-1.493145,1.528838,-3.202298,-1.659335,-0.005286,0.044583,0.181685,-0.250865,0.123957,0.016195,0.005139,-0.701995,-0.223495,0.838720,-1.190921,-1.201315,1.224031,-0.107777,-0.041583,0.023271,0.000671,-0.052747,0.057970
1.1615,0.099017,-1.437042,1.451762,-3.164230,-1.654329,-0.004046,0.040960,0.166191,-0.231319,0.114853,0.015137,0.003850,-0.732439,-0.235755,0.844560,-1.194532,-1.225211,1.229090,-0.078021,-0.032583,0.011539,-0.001281,-0.041159,0.042304
1.4464,0.107869,-1.399373,1.399999,-3.138618,-1.651099,-0.003212,0.013975,0.061055,-0.085936,0.042771,0.006201,0.002431,-0.748378,-0.242328,0.846847,-1.196685,-1.237547,1.231285,-0.017149,-0.007428,0.003847,-0.000885,-0.007482,0.010461
1.7228,0.109664,-1.391349,1.388851,-3.133060,-1.650373,-0.002994,0.000276,-0.000302,-0.000320,0.000353,0.001457,0.000280,-0.749992,-0.243000,0.847129,-1.196828,-1.238895,1.231673,0.000127,-0.000090,0.000213,-0.000179,0.000136,0.000403
2.0060,0.109846,-1.391339,1.388839,-3.133053,-1.650267,-0.002992,0.000000,0.000000,0.000000,0.000081,0.000153,0.000077,-0.749966,-0.243131,0.847120,-1.196748,-1.239050,1.231840,-0.000043,-0.000019,-0.000045,-0.000046,-0.000113,0.000153
2.2903,0.109850,-1.391284,1.388762,-3.133065,-1.650255,-0.002965,0.000000,0.000238,-0.000389,0.000038,0.000115,0.000058,-0.750003,-0.243142,0.847132,-1.196732,-1.239048,1.231870,0.000018,-0.000008,0.000124,-0.000076,0.000151,0.000114
2.5768,0.109858,-1.391258,1.388740,-3.133060,-1.650217,-0.002965,0.000000,0.000000,-0.000153,0.000019,0.000084,0.000058,-0.749993,-0.243146,0.847142,-1.196701,-1.239044,1.231904,0.000016,-0.000004,0.000098,-0.000073,0.000129,0.000068
