# 轨迹段 91
# 起点关节(rad): [-0.11071998277773076, -1.2133617560016077, 1.2217936515808105, -3.0117851416217247, -1.4859933058368129, -0.01633931795229131]
# 终点关节(rad): [0.09501498341560363, -1.6152375380145472, 1.7754671096801757, -3.355923096333639, -1.7171219030963343, -0.009373013173238576]
# 指令位姿: [-0.6032266192956361, -0.2120174293633672, 0.7688218968542485, -1.1905694180651252, -1.1357424517297805, 1.198545180825664]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.110720,-1.213424,1.221926,-3.011850,-1.486056,-0.016363,0.008514,-0.020371,0.024920,-0.016053,-0.016467,0.000000,-0.904158,-0.075201,0.799231,-1.319465,-1.292215,1.126989,0.028725,-0.020518,0.002054,0.005328,0.019853,-0.002150
0.2454,-0.104773,-1.225374,1.238110,-3.021978,-1.492830,-0.016181,0.056458,-0.111835,0.155208,-0.092982,-0.064140,0.002405,-0.890578,-0.084842,0.799993,-1.311513,-1.285299,1.129401,0.096484,-0.068304,0.005129,0.014074,0.065804,-0.005964
0.5349,-0.083869,-1.265805,1.294062,-3.056544,-1.516153,-0.015546,0.092847,-0.181498,0.251240,-0.155247,-0.105404,0.004134,-0.858764,-0.106062,0.801049,-1.293843,-1.269299,1.135487,0.127357,-0.079738,0.000094,0.013799,0.086416,-0.011463
0.8116,-0.057501,-1.317243,1.364835,-3.100710,-1.545761,-0.014649,0.091121,-0.180721,0.251652,-0.155622,-0.104399,0.002466,-0.821632,-0.128061,0.800336,-1.275437,-1.250637,1.142776,0.132290,-0.071617,-0.005488,0.006554,0.086699,-0.012360
1.1143,-0.029430,-1.372086,1.440532,-3.147468,-1.577332,-0.013676,0.092105,-0.179956,0.249032,-0.154591,-0.104295,0.003359,-0.781801,-0.148791,0.798309,-1.256604,-1.229840,1.151771,0.136420,-0.063783,-0.011965,0.004554,0.084902,-0.014031
1.3936,-0.003460,-1.422822,1.510602,-3.191261,-1.606623,-0.012820,0.093414,-0.182355,0.249998,-0.154276,-0.104648,0.003800,-0.742852,-0.166535,0.794351,-1.240219,-1.209892,1.160818,0.138552,-0.055882,-0.017534,-0.000984,0.085501,-0.015857
1.6814,0.023282,-1.475132,1.582424,-3.235739,-1.636725,-0.011871,0.095293,-0.181033,0.252552,-0.155875,-0.104115,0.003248,-0.702716,-0.182350,0.788901,-1.224495,-1.188749,1.170907,0.142041,-0.050123,-0.021810,-0.006059,0.087896,-0.012770
1.9552,0.049801,-1.526686,1.653491,-3.280190,-1.666404,-0.010950,0.093292,-0.181265,0.249819,-0.153548,-0.104430,0.003670,-0.659922,-0.196703,0.781436,-1.208953,-1.166250,1.182352,0.144903,-0.044110,-0.030565,-0.009731,0.085870,-0.011103
2.2487,0.076492,-1.578713,1.725372,-3.324809,-1.696417,-0.010066,0.076226,-0.146718,0.200847,-0.128095,-0.083970,0.002696,-0.622546,-0.207267,0.773455,-1.196655,-1.146102,1.192821,0.093482,-0.023455,-0.023474,-0.009261,0.053780,-0.008383
2.5259,0.092300,-1.609504,1.767575,-3.351106,-1.713825,-0.009510,0.023207,-0.048668,0.068912,-0.042668,-0.028965,0.000587,-0.604506,-0.211725,0.769036,-1.191023,-1.136528,1.198052,0.015828,-0.002771,-0.002115,-0.002011,0.011620,-0.002163
2.8053,0.094922,-1.615292,1.775537,-3.355935,-1.717086,-0.009435,-0.000199,0.000159,-0.000274,-0.000245,0.000226,0.000184,-0.603183,-0.211926,0.768827,-1.190553,-1.135689,1.198444,-0.000002,0.000057,0.000119,-0.000146,0.000315,0.000039
3.0905,0.094941,-1.615276,1.775515,-3.355945,-1.717074,-0.009409,0.000079,0.000026,-0.000069,-0.000077,0.000077,0.000065,-0.603209,-0.211942,0.768814,-1.190567,-1.135697,1.198485,-0.000129,-0.000290,-0.000217,-0.000026,-0.000296,0.000498
3.3666,0.095013,-1.615247,1.775486,-3.355918,-1.717105,-0.009414,0.000000,0.000112,-0.000256,-0.000038,0.000000,0.000038,-0.603206,-0.211967,0.768828,-1.190558,-1.135695,1.198487,-0.000042,-0.000004,0.000070,-0.000053,0.000139,0.000002
3.6404,0.095034,-1.615247,1.775472,-3.355947,-1.717115,-0.009390,0.000000,0.000049,-0.000092,-0.000019,0.000000,0.000019,-0.603199,-0.211971,0.768825,-1.190583,-1.135700,1.198496,-0.000020,0.000005,0.000024,-0.000029,0.000052,-0.000076
