# 轨迹段 120
# 起点关节(rad): [-0.24360496202577764, -1.5196773687945764, 1.6930696487426757, -3.1789782683001917, -1.2655037085162562, -0.04312020937074834]
# 终点关节(rad): [0.1657869279384613, -1.240489689503805, 1.0946569442749023, -2.925644890462057, -1.8058740774737756, 0.01182281281799078]
# 指令位姿: [-0.8246998887364826, -0.28455346718980445, 0.8994883750129838, -1.2914579388716096, -1.2096088496380075, 1.1290372875951944]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0005,-0.243540,-1.519620,1.692955,-3.178923,-1.265645,-0.043132,0.025681,0.017873,-0.038682,0.019317,-0.036083,0.003632,-0.723604,-0.022978,0.745210,-1.266913,-1.356035,1.192158,-0.031628,-0.034575,0.030437,0.004643,0.009416,-0.021510
0.3458,-0.220619,-1.503947,1.659185,-3.164784,-1.295979,-0.040112,0.147219,0.101943,-0.214734,0.091924,-0.194570,0.019861,-0.740138,-0.042330,0.761196,-1.268927,-1.344812,1.183818,-0.069832,-0.091906,0.072447,0.010008,0.021733,-0.056993
0.7085,-0.161890,-1.463927,1.573684,-3.128410,-1.373336,-0.032192,0.170520,0.115867,-0.248354,0.105553,-0.226220,0.022032,-0.764252,-0.076730,0.787027,-1.271780,-1.324715,1.171228,-0.059674,-0.100741,0.069656,0.006391,0.022651,-0.055361
1.0630,-0.101699,-1.422964,1.485647,-3.091019,-1.452852,-0.024101,0.170443,0.117380,-0.250614,0.103594,-0.226047,0.023251,-0.783809,-0.112188,0.810710,-1.274659,-1.304410,1.160649,-0.050286,-0.107672,0.067677,0.001947,0.024737,-0.057068
1.4161,-0.041234,-1.381589,1.397136,-3.053605,-1.532580,-0.016025,0.171338,0.117033,-0.249568,0.104591,-0.225883,0.023374,-0.800242,-0.151151,0.833938,-1.277909,-1.282702,1.151148,-0.038710,-0.115371,0.065326,-0.001679,0.027457,-0.055341
1.7652,0.018690,-1.340728,1.309527,-3.016573,-1.611719,-0.007872,0.171571,0.116125,-0.250520,0.106010,-0.226983,0.022895,-0.812406,-0.191314,0.855685,-1.281765,-1.260328,1.142878,-0.027609,-0.121285,0.060622,-0.004719,0.025927,-0.054673
2.1086,0.076919,-1.300962,1.224399,-2.980606,-1.688720,-0.000132,0.171356,0.116112,-0.248909,0.106612,-0.224088,0.023343,-0.820509,-0.233402,0.876503,-1.285800,-1.237440,1.135889,-0.014501,-0.125385,0.059416,-0.009905,0.031850,-0.055484
2.4540,0.135277,-1.261257,1.139241,-2.944605,-1.765666,0.007712,0.122897,0.082526,-0.177714,0.078049,-0.164347,0.016793,-0.824303,-0.273456,0.894711,-1.290235,-1.215580,1.130319,-0.002043,-0.058361,0.026107,-0.005061,0.014689,-0.026812
2.8176,0.165284,-1.240943,1.095520,-2.925955,-1.805114,0.011550,0.003053,0.002812,-0.005937,0.002554,-0.003540,0.000817,-0.824592,-0.284629,0.899587,-1.291164,-1.209623,1.129065,-0.000183,0.000117,-0.000017,-0.002067,-0.000017,-0.000023
3.1714,0.165808,-1.240492,1.094638,-2.925640,-1.805879,0.011818,0.000000,0.000064,-0.000095,0.000081,0.000096,0.000326,-0.824626,-0.284587,0.899556,-1.291393,-1.209494,1.129163,-0.000030,-0.000011,-0.000000,-0.000389,-0.000009,0.000042
3.5208,0.165794,-1.240497,1.094635,-2.925657,-1.805881,0.011919,0.000000,0.000026,-0.000049,0.000038,0.000038,0.000192,-0.824633,-0.284587,0.899554,-1.291445,-1.209479,1.129180,-0.000017,-0.000006,-0.000000,-0.000105,-0.000019,0.000031
3.8694,0.165799,-1.240490,1.094652,-2.925630,-1.805865,0.011919,0.000000,0.000013,-0.000026,0.000019,0.000019,-0.000936,-0.824635,-0.284584,0.899552,-1.291360,-1.209526,1.129111,-0.000007,-0.000003,0.000004,0.000359,-0.000030,0.000044
